TITLE,
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,22/10/18
TIME,18:47:16
SPECTROMETER/DATA SYSTEM,
LOCALE,16393
RESOLUTION,
DELTAX,-0.2
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  900.0000
LASTX,  200.0000
NPOINTS,    3501
FIRSTY,     0.41798
MAXY,     0.75010
MINY,     0.41378
XYDATA
791.4000,0.457571
791.2000,0.457928
791.0000,0.457758
790.8000,0.457551
790.6000,0.457565
790.4000,0.457509
790.2000,0.457754
790.0000,0.457806
789.8000,0.457751
789.6000,0.458032
789.4000,0.457875
789.2000,0.457891
789.0000,0.458199
788.8000,0.457966
788.6000,0.457717
788.4000,0.457911
788.2000,0.458115
788.0000,0.458052
787.8000,0.45801
787.6000,0.458158
787.4000,0.458262
787.2000,0.458165
787.0000,0.457936
786.8000,0.457912
786.6000,0.457846
786.4000,0.458127
786.2000,0.45822
786.0000,0.458092
785.8000,0.458215
785.6000,0.458056
785.4000,0.458309
785.2000,0.458398
785.0000,0.458217
784.8000,0.458235
784.6000,0.457838
784.4000,0.45798
784.2000,0.458548
784.0000,0.458262
783.8000,0.458329
783.6000,0.458834
783.4000,0.458757
783.2000,0.458557
783.0000,0.458461
782.8000,0.458086
782.6000,0.457678
782.4000,0.458042
782.2000,0.458209
782.0000,0.458045
781.8000,0.458344
781.6000,0.458427
781.4000,0.458351
781.2000,0.458537
781.0000,0.458881
780.8000,0.458921
780.6000,0.458511
780.4000,0.458457
780.2000,0.458842
780.0000,0.458926
779.8000,0.458496
779.6000,0.458367
779.4000,0.458567
779.2000,0.458696
779.0000,0.45885
778.8000,0.459016
778.6000,0.458845
778.4000,0.458758
778.2000,0.458809
778.0000,0.458617
777.8000,0.458839
777.6000,0.458846
777.4000,0.458839
777.2000,0.458751
777.0000,0.458649
776.8000,0.459014
776.6000,0.459015
776.4000,0.459031
776.2000,0.459023
776.0000,0.458738
775.8000,0.458768
775.6000,0.458851
775.4000,0.458774
775.2000,0.458778
775.0000,0.458751
774.8000,0.458645
774.6000,0.458911
774.4000,0.458895
774.2000,0.458797
774.0000,0.458988
773.8000,0.459017
773.6000,0.458852
773.4000,0.458656
773.2000,0.458906
773.0000,0.45905
772.8000,0.459026
772.6000,0.459229
772.4000,0.459355
772.2000,0.459367
